SAMPLE_ID	CELL_TYPE	APPLICATION	RESTRICTION_ENZYME	SEQUENCING_CORE	ILLUMINA_MACHINE	EXPERIMENT_ID	N_FILTERED_READS	SOURCE	SET
HIC166	GM12878	INHIC	MboI	Baylor	MiSeq	1	1.622124	SRR1658794	GM
HIC169	GM12878	INHIC	MboI	Baylor	MiSeq	3	1.604259	SRR1658797	GM
HIC172	GM12878	INHIC	MboI	Baylor	MiSeq	24	0.65679	SRR1658800	GM
HIC184	GM12878	INHIC	HindIII	Baylor	MiSeq	27	0.588108	SRR1658812	GM
HIC193	GM12878	INHIC	MboI	Baylor	MiSeq	30	1.140277	SRR1658821	GM
HIC197	GM12878	INHIC	DpnII	Baylor	MiSeq	33	0.796126	SRR1658825	GM
HIC199	GM12878	INHIC	DpnII	Baylor	MiSeq	33	0.440662	SRR1658827	GM
HIC200	GM12878	INHIC	DpnII	Baylor	MiSeq	33	0.574259	SRR1658828	GM
36c337b3a_ad0df5061	MCF10	INHIC	MboI	CRG	HiSeq	18	187.513575	NA	breast
ee060a665_64afd25e4	SKBR3	INHIC	MboI	CRG	HiSeq	27	156.557711	NA	breast
7dc7dba2e_28ef9097b	BT474	INHIC	MboI	CRG	HiSeq	28	126.400945	NA	breast
ENCLB758KFU	T47D	dilution HIC	HindIII	UMass	HiSeq 2500	1	80.568632	ENCLB758KFU	T47D
ENCLB183QHG	T47D	dilution HIC	HindIII	UMass	HiSeq 2500	2	92.520373	ENCLB183QHG	T47D
GSM987817	B-cell	HIC	HindIII	UCSC	HiSeq 2000	FA	19.599591	SRR5434{28-31}	mm10
GSM987818	B-cell	HIC	HindIII	UCSC	HiSeq 2000	EGS	90.216364	SRR5434{32-42}	mm10
GSM862720	ES-cell	HIC	HindIII	UCSC	HiSeq 2000	1	143.651688	SRR4438{83-85}	mm10
GSM862721	ES-cell	HIC	HindIII	UCSC	HiSeq 2000	2	72.056678	SRR4002{51-56}	mm10
GSM862722	ES-cell	HIC	NcoI	UCSC	HiSeq 2000	1	145.724551	SRR4438{86-88}	mm10
